reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,sentiment,review_length,helpful_votes,total_votes,helpfulness_ratio,review_time,days_since_review,freshness,baseline_score,aco_score
AHKOPVTQ3IEBL,B00000JFIF,"Baltic Books ""Vic""","[194, 195]","After reading every review we could find, we ventured for the first time into the digital photographic world purchasing the Olympus 340-R digital camera.  We were definitely not disappointed.After just a few days the  camera accompanied us to Ulaanbaatar, Mongolia and Seoul, S. Korea, while  we nervously left our Canon SLR at home.  The camera performed marvelously.  We found the optional 16MB flash memory card more than adequate for our  needs, as we easily downloaded photos each day into our laptop.We were  amazed at the quality of photos even in low light settings.  We took shots  at our conference including a multimedia presentation where surprisingly  the projected image on the screen was readable!  While staying in the  countryside in a traditional Mongolian &quot;ger&quot; (tent), we shot an  incredible photo of the predawn sky-- even the morning stars are clearly  distinguishable!Arriving home we were completely satisfied with the  photos shot at the low resolution setting when printed out on our HP  Deskjet 895 using an Epson photographic paper.  I doubt that most people  would be able to tell the difference between the prints and a standard  developed snapshot.  The enclosed Olympus and Adobe software is easy to use  and functional for most home use.  You will absolutely love the Quickstitch  utility that simply creates oversized and panorama shots!One of the only  weaknesses we found a little frustrating was the variance between the  optical viewfinder and the digital one.  If you frame... say, a head and  shoulders shot in the optical viewfinder, you will discover that digitally  the camera sees a much broader area.  Olympus should do a little better job  calibrating the two viewfinders.Apart from that, you will want to invest  in the NiMH charger and at least 8 batteries-- shop around for the best  price.  Also, picking up a 3.5 inch floppy adapter for the flash memory  card will be a big time saver. You simply pull out the flash memory card,  slip it into the adapter, and then slide the floppy into any computer.  You'll save time and frustration over having cords laying all around your  table, plus a significant download time.One last item-- Do you think a  16MB memory card will be too small for your needs?  Olympus, through their  website, is offering an inexpensive upgrade through the end of December  that will allow the camera to use the new 32MB memory cards.",5.0,A definite winner- Buy this camera!,943315200,"11 23, 1999",0.2026515151515151,395,194,195,0.9897959183673468,1999-11-23,5353,0.02955039883973898,99.05549945808964,0.9999980342320745
A1NKE9ESVFDJ8M,B00000JYWQ,"AFRED ""Allyka""","[93, 93]","I use this camera with a usb sans disk flashcard reader, which I find incredibly convenient. I email pictures to family regularly.  The quality is matchless, but I have to ramp down the resolution and size or some files  can be over 1 meg.The quality is so exquisite, that (get this) got a  color matched fabric from a friend in NY based on a close up picture I took  of a printed upholstery piece.  I took a closeup of a diseased mahonia  leaf, emailed it to my mom, and she diagnosed thrips and suggested  BT.This is a camera with more capability than I need, but the picture  quality and features are worth developing the patience to deal with the  online manual and learn.  I print pics on a HP722 and the prints look  great. (Tho the color degrades after a year. Printer ink problem, not  Camera)However, it has a few shortcomings. The paperless manual is a  pain when you are learning.  You just CANNOT see the lcd screen on the  camera in bright light which makes using the manual settings impossible.  The add on lenses (wide angle, etc) are awkward to use. I have lost more of  the tiny lens caps than I will confess.  I even dropped one on the grass  and was unable to find it right after dropping it.  I now have 6, having  asked everyone I know for one for presents.",4.0,A Hassle but Worth It,944092800,"12 2, 1999",0.142416225749559,235,93,93,0.9893617021276596,1999-12-02,5344,0.031182015953589604,59.04073998595771,0.9995593457299813
A2TYHWXZPE415M,B00000JDHV,"Jerry Wilson ""Wilstar""","[234, 236]","If you need a camera that takes higher quality, and higher resolution photos in all kinds of light, you will need this camera.  The 3Com HomeConnect has remarkable low-light capability.  I use it as a &quot;weather cam.&quot;  It is pointed out the window of my office in Edinburgh, Indiana where it adapts well to everything from bright sunlight to ambient street lighting at night.  Unlike most Webcams, this one features a resolution as high as 640x480.  I also like the long, detachable USB cord.  Another plus is the easy setup  utility.  Basically, all you do is put the CD in the drive and it tells you  onscreen what to do next.  It's so simple!  Just don't plug the camera into  the USB port before the program instructs you to do so.  It's not the least  expensive camera on the market, but the extra price gets you a much better  camera than the average Webcam.",5.0,Great pictures for a Webcam,945043200,"12 13, 1999",0.1839583333333333,154,234,236,0.9873417721518988,1999-12-13,5333,0.0331762146482959,38.80111908003338,0.997518599907157
ARXU3FESTWMJJ,B00000IGBF,"Mary Jo Sminkey ""15 years of Amazon Reviews!""","[186, 188]","The big questions these days is what organizer to get. I'll assume you are reading these reviews because you already know that the Palm OS beats CE any day. So the choice is a Palm Vx, a Palm V, a IIIx or a Visor. I can't recommend the Visor right now due to the horrible problems people are  having with Handspring...maybe in another year, but not now.The new Vx  is a good choice, lots of memory and the other advantages of the Palm V  like a better screen, and rechargeable battery. But the darn thing is still  overpriced. If money is no problem though, I'd probably go with the Vx.The V is good too, but only 2 meg of memory...yuck! Now, 2 meg of memory  is going to be enough for a lot of people. If all you want to do is the  basic appointment/phone book/to-do stuff, 2 meg is more than you'll ever  need. But that's it...you're stuck with 2 meg and can't upgrade (easily).  If you are interested in using your Palm to do internet stuff, grab  webpages with AvantGo, play games, read books, etc. you're going to find  yourself a bit squeezed by 2 meg. You can still do quite a bit, but it's a  bit more work to manage your space.Now, for less money you can get the  IIIx. You'll have twice as much memory, and the ability to upgrade. I  personally put on the TRG xtra xtra pro board which gave me 4 meg more of  RAM and 2 meg more Flash...it's like having an 11 meg Palm! Really great.  Of course, I bought this before the Palm Vx came out, today it's not quite  as good a deal to do.One other reason I like the Palm IIIx is that I  have a lot of add-ons that only work with it...the Palm Navigator  (compass), the Weatherguide, Landware's GoVox voice recorder, etc. I don't  believe these will fit a Palm V. Of course, it goes both ways....Palm's new  33.6 modem and the new wireless Omnisky modem only fit the Palm V.I do  believe the Palm V has a better screen, it doesn't seem to have the streaks  that a lot of the Palm IIIx's have. And there's no doubt it has a certain  &quot;coolness&quot; factor. Most of my friends at work went with the Palm  V. But they are fairly impressed with the space and the accessories I have  for my Palm IIIx.",4.0,A great choice but not perfect,946771200,"01 2, 2000",0.2522281639928699,407,186,188,0.984126984126984,2000-01-02,5313,0.03680203045685282,102.06828929464417,0.9942706836612937
A39VTD9COHHY34,B00001QEAE,"Pam ""autumngal""","[55, 55]","This camera has a lot going for it.  The first picture I took turned out great!  The camera is very user friendly which is good because the manual that Sony provides is not very well organized or well written.I find  the floppy disk storage to be easy and convenient. The camera allows you to  make a copy of the disk right in the camera so you can share copies of  photos with friends on the spot.The Mpeg movies are a fun little add  on.  I am taking the camera to England in April and I think it will be fun  to capture little movie clips over there.The rechargeable battery seems  to be adequate. I am planning to purchase the more powerful one that  provides longer charge.The video and audio cables provided allow easy  viewing of the photos on the TV set.The only  negatives with the camera  are the difficulty holding the view steady when the zoom is on (but no  other digital camera maker provides a zoom this powerful)  Also, the light  that leaks out of the window at the top of the LCD screen.  This can be  annoying in a dark room.Overall, this camera delivered the features  that I was looking for.",5.0,Nice Camera That is Packed with Features,950745600,"02 17, 2000",0.2165952380952381,203,55,55,0.9821428571428572,2000-02-17,5267,0.04514140681653367,51.060969875513656,0.9922661227127954
A2CC2CRU24E44X,B00000IGBF,NBO,"[55, 55]","I have to say that I've grown very dependent on my IIIx.  I'd give it a score of 5 except for the streaking problem.  Mine didn't do this right away.  It started hapening about 6 months after I began to use it.  Sometimes its there sometimes it isn't.  When its there, the streaking  (looks like water was spilled on a sheet of ink writing) can make the  screen totally unreadable.  Five minutes later, all can be fine.  PDA need  to be dependable.  Mine isn't always.  Before I started reading other  reviews, I thought mine was just broken.  I was considering buying another  but not if by luck, I get another &quot;streaker&quot;.  Even though I like  the IIIx, its reasonably priced (though still expensive), has great  software options, I'd be cautious about buying another one.  Probably  wouldn't go with the IIIx if I had known about the streaking problem in  advance.",3.0,Good but BEWARE the streaks,947030400,"01 5, 2000",0.0877380952380952,150,55,55,0.9821428571428572,2000-01-05,5310,0.037345902828136324,37.77680671380228,0.99226610692202
A2OHGA790ZR35V,9888002198,Darren Leung,"[54, 54]","This product does NOT deserve the 2 stars the other reviewers gave it.  One reviewer got the wrong product, apparently (which has to do with the seller), while the other doesn't seem to realize that the USB port is for charging peripherals, NOT a computer.Pros:-has basically all plug adapters you need built-in or easily removable.-compact-sturdy, good quality plastic, kind of like Lego-decent USB power port rated at 500mA-lights for AC Power and USB powerCons:-does not ground-instructions say 110V-250V, but unit says 100-250V. Should work in Japan, but haven't tested it.Notes:*Do not pay full price at a retailer for this item! I got mine from the seller in this listing. It was delivered in a simple bubble-envelope with instruction sheet, no maim-shell packaging.*I LOVE the lights on this thing.  You can plug in and know right away if there is AC.*Furthermore, the USB lights up depending on the current being drawn and thus flickers when something is trickle-charging.  Know what this means? It means you can tell AT A GLANCE if your device is 95% charged!!! Do NOT top-off your battery-powered devices to 100%! The ""memory effect"" is a myth.  The real culprit is topping-off your battery.  Charge your devices until the USB flickers and then remove them.*keep in mind that, as with all modern plug converters, your primary device must be rated to use 100-250V mains power.  This adapter will NOT step-up or step-down voltage (unnecessary with modern electronics).The only possible improvements to this would be if there was an extra USB port or if it was somehow rotatable.This thing kicks ASS and is a great bargain compared to the other name-brand junk out there that is either over-priced or over-priced AND doesn't have USB power.",5.0,Can't really ask for much more.,1263168000,"01 11, 2010",0.1605248917748918,286,54,54,0.9818181818181818,2010-01-11,1651,0.7006889050036258,71.96075799464919,0.9919394287783196
A1DQHS7MOVYYYA,1400599997,A. Boston,"[212, 215]","MORE UPDATES at the bottom of my review!My review includes details of Kindle 3, the newest version! With the time period, I could still return my nook, but I'm still completely in love with it and don't want the kindle for the reasons below.I was one of those people who was averse to the idea of an e-reader for a long time. I liked the feel of a real book, I was in love with free books at the library, why would I start paying for them? Then, my library got ""overdrive"", which is e-books FREE from the library. Then one day soon after, I woke up and the urge for an e-reader was there. The Nook was my final choice. It took a lot of back and forth and research to get to this point. I bought and tried the Sony Touch reader, returned it, and went and got the Nook. I really honestly wanted the Kindle most, because I'm a loyalist. I love Amazon and felt really comfortable here if I decided to actually start purchasing books again. But below, I'll give you comparisons to the three big readers and the reasons I got the nook:- Nook(N) by barnes & noble- Kindle 3(K) by amazon.com- Sony Reader Touch(ST)1. My biggest decision maker was Epub. This is the format in which you can take ebooks out of the library, so I needed whatever I got to be Epub friendly.N: The Nook is epub friendly. As well as PDF, and many other formats.K: The Kindle won't use Epub, which was all I needed to know. It mainly uses it's own Amazon format,while it also uses PDF, mobi and a few others. It makes me feel like Amazon is being greedy, wanting us to only use and buy books from the amazon site. Don't they understand that I love my library?ST: Sony reader is Epub friendly. pretty much the same as the nook.2. PRICE!N: 149 with wifiST: 169 NO WIFIK: 139 with wifi(or 189 with wifi and free 3G)While kindle 3 is 10 dollars cheaper, it doesn't give me those free library books, so it really doesn't make any difference to me.*You can now lend some books from the Nook for 14 days to a friend with their new ""lend me"" technology. While this is in beta stages, and not ALL books are lendable. It depends on the agreement with the publisher. The other two you cannot lend at all.*The Nook has a replaceable, rechargable battery. So it'll last awhile, but when its dwindling, you can spend 30 bucks and put a new one in yourself. For the Kindles, they are sealed inside. People have said you can do it yourself, but you must be tech savvy. Or you can send it away to Amazon for about the cost of [...]+shipping charges and they'll replace it for you.*You can expand your memory on the Nook and on the Sony touch. The Kindle you cannot, though the Kindle will hold 3,500 books, don't know if you need more space then that?!*Nook has a fancy color touch screen at the bottom. While the Sony touch has a touch screen(the entire screen), it was slow to respond, very klunky and not very pretty. The kindle is loaded with buttons along the outside of the screen.* all three have a built in dictionary, which I think is just awesome.*The new kindle now meets with the nook on their slim width. People used to say the nook was more comfortable to hold because of the width, now the kindle will be as well.*Yet, the Nook is heavier by about 3 oz then the Kindle or Sony.*The Nook battery life lasts about 10 days with wifi off, the Sony has 14 days, and the new kindle is up to a month with wifi off(3 weeks with it on)This wasn't a big deal to me, and I was more interested in the other features the Nook DID have, like replaceable battery and expandable memory.*And you may be wondering, why did I purchase a Sony Touch, and then scamper back hours later to return it? Well. When I got it out of the box, it wasn't techy enough for me. It felt like a very basic, bare bones E-reader. And I already had in my head all the things you hear about the nook: books more expensive, and for some reason I thought it wasn't epub friendly. But the moment I had that Sony in my hand, I went to look at the nook more indepth online. The Sony online library was nothing in comparison to Kindle's Amazon.com or Nook's Barnes & Noble. One of my favorite reads recently was The Hunger Games by Suzanne Collins. It was nowhere to be found on Sony. That gave me a bad taste in my mouth.*In the past people have complained that Barnes & Noble is significantly more expensive then Amazon. I did some price comparisons of big titles, and found them most of the time to be exactly the same. I think Barnes & Noble might be trying to keep in line with Amazon to draw more readers(Like ME!) into getting the Nook.On the whole, the nook is everything I wanted. I've downloaded some free classics from google books, I've taken out library ebooks and it was REALLY easy! I even bought my first book(well, ebook) in a long time. Despite being a new release, it was under ten bucks. I also bought another book I've been meaning to read for years for under four dollars. The nook is comfortable to hold with one hand. I like the using the touch screen to ""swipe"" and turn pages. And tops on my list, I didn't feel horrificly guilty for buying it. One fifty is a reasonable price for such a fun new book reader.Update Oct '10: A software update is coming in Nov:""dramatically increase page turn speed, customized B&N; Library organization and password protection. It also includes the ability to sync across all NOOK and all devices enabled with our free NOOK apps, by syncing your last page read. If you forget your NOOK at home, use the NOOK app for iPad, iPhone, iPod touch, Android smartphone or PC to pick up where you left off. And, the next time you pick up your NOOK, the Reading Now page will be updated and ready to go.Update Dec '10: The update was a pinch to install, and it has some stellar perks that make the nook even more loveable. The shelving option it a lot of fun for those people who like to organize. You can name a shelf anything you want. The only limit is your Barnes and Noble book will stay in their Barnes folder, while any other books you have will stay in My Documents. The page turn is very fast. I do read across multiple devices, but for most people that will be a great new feature.",5.0,Comparison: Nook vs. Kindle 3 vs. Sony Touch from a library book lover,1279584000,"07 20, 2010",0.2024439314730577,1158,212,215,0.9814814814814816,2010-07-20,1461,0.7351341551849166,289.97976489203484,0.9915993277663815
A3W2UTN0BC4ZKD,B00001U0AJ,"Heath Buckmaster ""_heath_""","[52, 52]","this camera is incredibly easy to install, it really is just plug and  play. you'll need to have video conf software like netmeeting or cuseeme -  the included software isn't worth installing, and the drivers on win98 cd  are fine. won't work with windows NT unless you've installed a usb hub and  drivers especially for NT4. win2000 seems to function ok with it. rotating  focus wheel is cumbersome if you're trying to focus the camera and aren't  standing right next to it. get the latest drivers from logitech (3com)  online. the image is not crystal clear, so don't expect the same quality as  you get from a digital camera, but if you are looking for cost, your  friends will be able to see you just fine with this one. the mounting stand  is a little wierd, and the camera cable makes it shift back and forth. i  had to tie down the cable so i could position the camera and it wouldn't  move. it's not worth investing in a stand for this one because of the  picture quality.",3.0,"easy to install, not a perfectly clear image though",966124800,"08 13, 2000",0.1755180776014109,178,52,52,0.981132075471698,2000-08-13,5089,0.0774111675126904,44.80851533014645,0.9912449880470758
A2PRAB4P64SXLK,B00000JYWQ,"P. W. Sheehan ""pwsheehan""","[51, 51]","Great camera once you learn the menus and buttons. Advanced users of electronic cameras will find this easy. I have avoided the auto-everything camera's because I like controlling all of the creative process. Because of  this, it took me a while to get used to the menus and buttons, but it was  not hard. The Coolpix 950 still allows you to control the creative process  but I would recommend a good book on digital photography (such as Real  World Digital Photography) to get you started, especially if you're a film  junkie such as myself. Note: a memory card reader for your computer and  bigger CompactFlash cards will make the camera much more enjoyable as well  as rechargeable Ni-MH batteries. The first two replace your film and  processing budget. One nice thing is that you can instantly reuse the  memory card. Mistakes can be erased immediately and the same memory space  used for a better shot. A light steady tripod is also recommended as the  camera has a &quot;speed rating&quot; of ISO 80 and shutter speeds tend to  be slow without flash. If you must use flash, get an external unit as the  on board flash is too close to the lens and, as with all small cameras,  produces flat featureless images. You'll also need access to a good, fast  color printer to print out the full reference manual. A copy center such as  Kinko's should work. This is not a camera for the &quot;instamatic&quot;  crowd. Hint: negative reviewers tend to be disappointed because it is not  an out-of-the-box instant hit, but with a little creative work, the camera  does well. I may trade up to the CoolPix 990 in a year or two after the  price comes down.",4.0,Great!,950140800,"02 10, 2000",0.1652046783625731,288,51,51,0.9807692307692308,2000-02-10,5274,0.043872371283538825,72.29746157010383,0.9908783354830807
